date,open,high,low,close,volume
2024-07-08 00:00:00+05:30,437.75,443.35,425.3,430.35,65917
2024-07-09 00:00:00+05:30,430.6,437.25,425.0,429.1,15466
2024-07-10 00:00:00+05:30,426.0,432.5,414.85,420.0,32605
2024-07-11 00:00:00+05:30,420.75,429.0,420.75,426.25,53986
2024-07-12 00:00:00+05:30,427.0,444.6,425.0,437.1,96705
2024-07-15 00:00:00+05:30,440.0,448.95,424.25,445.9,142140
2024-07-16 00:00:00+05:30,446.2,472.1,446.2,457.25,230981
2024-07-18 00:00:00+05:30,475.0,484.0,462.0,465.55,243239
2024-07-19 00:00:00+05:30,465.05,470.0,444.55,451.45,124254
2024-07-22 00:00:00+05:30,447.8,481.0,441.85,476.95,191582
2024-07-23 00:00:00+05:30,480.95,486.75,429.3,459.95,307852
2024-07-24 00:00:00+05:30,460.0,471.85,454.0,461.5,42771
2024-07-25 00:00:00+05:30,459.45,464.25,445.0,447.25,38798
2024-07-26 00:00:00+05:30,447.3,456.0,441.0,443.35,65562
2024-07-29 00:00:00+05:30,445.0,462.1,445.0,459.95,38542
2024-07-30 00:00:00+05:30,459.85,465.95,445.2,452.75,68678
2024-07-31 00:00:00+05:30,452.5,455.5,438.15,446.5,122318
2024-08-01 00:00:00+05:30,447.4,453.75,436.9,440.7,54396
2024-08-02 00:00:00+05:30,436.85,437.7,426.05,427.4,79237
2024-08-05 00:00:00+05:30,407.05,419.15,401.4,406.4,122622
2024-08-06 00:00:00+05:30,412.05,423.2,401.0,402.55,31377
2024-08-07 00:00:00+05:30,424.95,424.95,406.05,412.8,50238
2024-08-08 00:00:00+05:30,415.9,432.0,411.0,418.65,97053
2024-08-09 00:00:00+05:30,431.25,433.0,421.15,426.95,63489
2024-08-12 00:00:00+05:30,436.95,438.4,420.4,421.15,34619
2024-08-13 00:00:00+05:30,420.95,420.95,396.7,400.75,53737
2024-08-14 00:00:00+05:30,399.75,403.2,383.5,385.5,73091
2024-08-16 00:00:00+05:30,387.6,401.7,381.1,394.05,58949
2024-08-19 00:00:00+05:30,395.25,398.3,390.1,393.9,20625
2024-08-20 00:00:00+05:30,394.9,398.45,390.15,391.5,17309
2024-08-21 00:00:00+05:30,391.5,408.5,389.25,405.35,68573
2024-08-22 00:00:00+05:30,408.0,412.9,405.1,407.1,38299
2024-08-23 00:00:00+05:30,409.0,410.35,399.2,400.45,24044
2024-08-26 00:00:00+05:30,408.4,408.4,392.55,397.7,23400
2024-08-27 00:00:00+05:30,397.7,405.6,395.4,397.2,36110
2024-08-28 00:00:00+05:30,398.25,400.0,385.35,386.75,27707
2024-08-29 00:00:00+05:30,391.45,395.1,376.5,383.7,80828
2024-08-30 00:00:00+05:30,385.5,389.85,381.9,384.5,21173
2024-09-02 00:00:00+05:30,385.4,391.25,384.15,390.1,47666
2024-09-03 00:00:00+05:30,404.15,426.9,403.0,418.9,391154
2024-09-04 00:00:00+05:30,415.0,420.65,411.3,416.6,49563
2024-09-05 00:00:00+05:30,419.5,435.0,414.1,433.45,107433
2024-09-06 00:00:00+05:30,433.7,451.25,433.25,444.15,71332
2024-09-09 00:00:00+05:30,444.05,445.0,421.75,428.0,83110
2024-09-10 00:00:00+05:30,425.1,439.1,425.1,436.4,19523
2024-09-11 00:00:00+05:30,438.9,442.6,433.0,436.05,25660
2024-09-12 00:00:00+05:30,437.3,461.4,437.3,457.75,50790
2024-09-13 00:00:00+05:30,460.5,476.5,458.0,462.9,68072
2024-09-16 00:00:00+05:30,466.05,476.5,457.7,466.45,100587
2024-09-17 00:00:00+05:30,467.05,470.0,453.9,454.65,43868
2024-09-18 00:00:00+05:30,453.6,463.9,453.2,458.5,37181
2024-09-19 00:00:00+05:30,460.35,466.5,454.5,459.8,97738
2024-09-20 00:00:00+05:30,463.75,466.0,452.0,464.05,57420
2024-09-23 00:00:00+05:30,478.25,503.4,470.25,499.3,127635
2024-09-24 00:00:00+05:30,500.25,516.65,493.9,510.55,211302
2024-09-25 00:00:00+05:30,511.7,511.7,496.0,507.45,118823
2024-09-26 00:00:00+05:30,507.0,507.0,476.4,479.6,122422
2024-09-27 00:00:00+05:30,478.25,497.2,474.0,488.25,47002
2024-09-30 00:00:00+05:30,479.0,493.9,463.35,468.8,35949
2024-10-01 00:00:00+05:30,478.0,480.0,453.25,458.15,41531
2024-10-03 00:00:00+05:30,449.05,463.25,442.0,443.45,83482
2024-10-04 00:00:00+05:30,443.05,449.9,428.4,436.0,77856
2024-10-07 00:00:00+05:30,440.0,447.95,422.65,428.8,106092
2024-10-08 00:00:00+05:30,420.25,471.65,420.25,448.55,128050
2024-10-09 00:00:00+05:30,452.0,464.0,434.8,439.7,70319
2024-10-10 00:00:00+05:30,448.55,448.65,438.0,440.8,25109
2024-10-11 00:00:00+05:30,440.0,444.0,439.3,440.95,19754
2024-10-14 00:00:00+05:30,441.05,460.3,441.05,444.95,63364
2024-10-15 00:00:00+05:30,445.05,463.0,445.05,458.2,55294
2024-10-16 00:00:00+05:30,458.2,458.2,445.6,446.5,17279
2024-10-17 00:00:00+05:30,446.75,454.05,436.6,438.1,11328
2024-10-18 00:00:00+05:30,428.95,439.5,424.9,438.85,44598
2024-10-21 00:00:00+05:30,438.05,444.05,421.0,431.45,22447
2024-10-22 00:00:00+05:30,433.05,440.05,415.0,419.4,58178
2024-10-23 00:00:00+05:30,411.05,426.7,410.0,419.9,34181
2024-10-24 00:00:00+05:30,420.0,423.95,412.75,414.95,10173
2024-10-25 00:00:00+05:30,410.65,431.0,410.25,418.8,94640
2024-10-28 00:00:00+05:30,411.45,433.95,408.0,431.35,22029
2024-10-29 00:00:00+05:30,431.0,454.6,425.1,450.15,35859
2024-10-30 00:00:00+05:30,446.0,462.55,445.45,452.35,25486
2024-10-31 00:00:00+05:30,453.0,453.95,438.0,439.2,5886
2024-11-01 00:00:00+05:30,448.0,448.0,442.8,445.0,1758
2024-11-04 00:00:00+05:30,440.2,453.55,440.2,451.9,38668
2024-11-05 00:00:00+05:30,451.4,455.15,443.65,449.75,26609
2024-11-06 00:00:00+05:30,448.0,459.95,443.05,457.5,49641
2024-11-07 00:00:00+05:30,464.85,471.8,458.6,464.0,98762
2024-11-08 00:00:00+05:30,468.4,477.0,456.7,459.15,30142
2024-11-11 00:00:00+05:30,455.0,458.5,432.65,435.8,30505
2024-11-12 00:00:00+05:30,436.0,439.95,428.0,429.05,17359
2024-11-13 00:00:00+05:30,427.7,429.0,416.05,424.0,42269
2024-11-14 00:00:00+05:30,423.2,451.0,423.15,435.1,79074
2024-11-18 00:00:00+05:30,430.85,434.0,419.5,423.5,65379
2024-11-19 00:00:00+05:30,424.3,431.65,418.0,423.3,40893
2024-11-21 00:00:00+05:30,424.25,432.4,410.8,422.35,30183
2024-11-22 00:00:00+05:30,430.7,430.7,413.3,416.95,13317
2024-11-25 00:00:00+05:30,418.85,428.25,393.95,400.65,100880
2024-11-26 00:00:00+05:30,401.35,409.0,399.25,406.75,47760
2024-11-27 00:00:00+05:30,410.0,427.95,407.0,424.0,85403
2024-11-28 00:00:00+05:30,424.95,434.75,416.2,418.1,40973
2024-11-29 00:00:00+05:30,418.1,434.9,418.1,432.75,69277
2024-12-02 00:00:00+05:30,433.95,436.95,425.75,432.95,29307
2024-12-03 00:00:00+05:30,435.0,444.0,433.85,435.15,12289
2024-12-04 00:00:00+05:30,435.05,441.75,432.85,440.75,10693
2024-12-05 00:00:00+05:30,443.0,444.0,432.0,433.85,29694
2024-12-06 00:00:00+05:30,430.3,435.8,427.35,430.0,24430
2024-12-09 00:00:00+05:30,430.55,431.6,423.45,426.45,13980
2024-12-10 00:00:00+05:30,427.5,434.75,420.25,422.3,12809
2024-12-11 00:00:00+05:30,420.8,426.0,417.4,418.6,29087
2024-12-12 00:00:00+05:30,419.95,438.85,419.0,435.8,102479
2024-12-13 00:00:00+05:30,434.0,440.0,432.5,438.2,40896
2024-12-16 00:00:00+05:30,436.25,440.05,429.55,436.65,29223
2024-12-17 00:00:00+05:30,439.45,439.45,427.3,428.25,11897
2024-12-18 00:00:00+05:30,428.65,449.8,426.0,433.7,44007
2024-12-19 00:00:00+05:30,430.0,430.0,422.0,425.3,11448
2024-12-20 00:00:00+05:30,425.0,434.75,422.2,425.75,27686
2024-12-23 00:00:00+05:30,421.05,431.9,418.75,425.7,32431
2024-12-24 00:00:00+05:30,425.7,426.55,420.8,422.85,14432
2024-12-26 00:00:00+05:30,417.25,427.0,417.25,426.0,7364
2024-12-27 00:00:00+05:30,430.0,430.0,423.75,424.45,6771
2024-12-30 00:00:00+05:30,416.75,437.25,416.75,433.5,12316
2024-12-31 00:00:00+05:30,426.55,432.05,420.95,422.65,10846
2025-01-01 00:00:00+05:30,422.05,426.35,418.7,419.7,16215
2025-01-02 00:00:00+05:30,429.45,429.45,419.05,421.25,7722
2025-01-03 00:00:00+05:30,420.05,430.0,420.05,427.85,20560
2025-01-06 00:00:00+05:30,422.05,428.0,419.2,422.3,10289
2025-01-07 00:00:00+05:30,414.65,426.0,414.65,424.2,20483
2025-01-08 00:00:00+05:30,424.0,426.3,420.05,422.65,21575
2025-01-09 00:00:00+05:30,426.0,426.0,420.8,422.65,5473
2025-01-10 00:00:00+05:30,413.0,443.55,413.0,423.0,50002
2025-01-13 00:00:00+05:30,415.4,429.0,398.45,405.35,37604
2025-01-14 00:00:00+05:30,407.8,414.35,404.3,405.65,17565
2025-01-15 00:00:00+05:30,405.05,408.8,396.05,396.95,15751
2025-01-16 00:00:00+05:30,404.7,407.3,394.1,395.5,21918
2025-01-17 00:00:00+05:30,415.0,418.7,393.65,396.85,92205
2025-01-20 00:00:00+05:30,403.1,403.1,390.1,395.55,18688
2025-01-21 00:00:00+05:30,396.1,406.85,395.0,401.5,21460
2025-01-22 00:00:00+05:30,405.8,410.0,390.3,399.45,12625
2025-01-23 00:00:00+05:30,392.0,402.45,392.0,394.85,39605
2025-01-24 00:00:00+05:30,390.5,397.5,382.5,385.15,11498
2025-01-27 00:00:00+05:30,377.4,381.25,361.6,364.55,48045
2025-01-28 00:00:00+05:30,363.75,401.0,346.55,389.85,66511
2025-01-29 00:00:00+05:30,389.8,399.35,378.35,397.85,22418
2025-01-30 00:00:00+05:30,389.55,398.35,386.05,387.45,16650
2025-01-31 00:00:00+05:30,394.4,399.45,388.95,398.4,14502
2025-02-01 00:00:00+05:30,405.95,406.0,390.35,395.5,20456
2025-02-03 00:00:00+05:30,395.45,397.85,385.0,390.85,16774
2025-02-04 00:00:00+05:30,390.3,396.25,387.05,392.0,14948
2025-02-05 00:00:00+05:30,398.0,398.0,388.05,391.25,11604
2025-02-06 00:00:00+05:30,395.0,395.95,385.25,392.8,20107
2025-02-07 00:00:00+05:30,399.8,413.0,398.05,400.95,106884
2025-02-10 00:00:00+05:30,400.95,403.15,383.05,384.55,13107
2025-02-11 00:00:00+05:30,380.1,389.0,376.45,384.25,34644
2025-02-12 00:00:00+05:30,389.15,391.45,369.0,388.8,21748
2025-02-13 00:00:00+05:30,388.45,395.75,386.05,392.75,5181
2025-02-14 00:00:00+05:30,386.2,391.15,374.0,383.6,10910
2025-02-17 00:00:00+05:30,376.85,395.7,376.85,392.35,15114
2025-02-18 00:00:00+05:30,393.5,395.3,381.05,391.1,10693
2025-02-19 00:00:00+05:30,384.2,393.65,383.25,384.85,7331
2025-02-20 00:00:00+05:30,392.0,392.0,375.0,381.8,12268
2025-02-21 00:00:00+05:30,371.5,389.1,371.5,381.35,15105
2025-02-24 00:00:00+05:30,381.95,381.95,364.0,366.7,22256
2025-02-25 00:00:00+05:30,363.05,385.2,363.05,380.9,47845
2025-02-27 00:00:00+05:30,379.0,388.8,377.7,383.15,22379
2025-02-28 00:00:00+05:30,383.1,386.95,371.95,381.0,28315
2025-03-03 00:00:00+05:30,375.15,387.25,369.35,377.2,23378
2025-03-04 00:00:00+05:30,340.5,383.0,340.5,380.4,12530
2025-03-05 00:00:00+05:30,380.55,390.0,379.6,388.35,6826
2025-03-06 00:00:00+05:30,390.95,404.15,388.85,402.0,10989
2025-03-07 00:00:00+05:30,400.0,432.4,400.0,427.75,51283
2025-03-10 00:00:00+05:30,427.75,433.95,416.15,426.15,40147
2025-03-11 00:00:00+05:30,415.5,446.35,414.05,431.55,60132
2025-03-12 00:00:00+05:30,427.05,435.95,421.8,426.15,6728
2025-03-13 00:00:00+05:30,421.05,427.95,412.25,414.25,27525
2025-03-17 00:00:00+05:30,414.7,425.85,414.65,416.55,11028
2025-03-18 00:00:00+05:30,416.9,431.05,416.05,428.4,11366
2025-03-19 00:00:00+05:30,431.95,444.7,430.75,442.9,43155
2025-03-20 00:00:00+05:30,446.35,447.65,421.0,429.45,26977
2025-03-21 00:00:00+05:30,427.05,441.9,408.4,422.25,38334
2025-03-24 00:00:00+05:30,416.5,425.0,409.1,413.3,38770
2025-03-25 00:00:00+05:30,419.9,419.9,401.05,406.35,32692
2025-03-26 00:00:00+05:30,401.55,409.45,398.95,403.05,29118
2025-03-27 00:00:00+05:30,402.05,427.75,402.05,424.4,88280
2025-03-28 00:00:00+05:30,421.25,429.15,417.8,423.9,94116
2025-04-01 00:00:00+05:30,416.35,425.55,416.35,422.2,8905
2025-04-02 00:00:00+05:30,416.55,446.6,416.55,444.15,32724
2025-04-03 00:00:00+05:30,427.15,460.8,427.15,456.85,122101
2025-04-04 00:00:00+05:30,455.2,467.0,433.9,450.95,70448
2025-04-07 00:00:00+05:30,405.9,435.75,405.9,430.65,69199
2025-04-08 00:00:00+05:30,437.7,457.9,434.55,453.85,62939
2025-04-09 00:00:00+05:30,451.5,462.75,450.45,458.9,30797
2025-04-11 00:00:00+05:30,473.0,473.0,454.05,462.9,25871
2025-04-15 00:00:00+05:30,471.0,472.0,463.7,468.0,20961
2025-04-16 00:00:00+05:30,474.95,488.3,466.45,484.9,106346
2025-04-17 00:00:00+05:30,480.25,491.0,480.25,485.45,15261
2025-04-21 00:00:00+05:30,483.2,488.05,470.75,480.5,73664
2025-04-22 00:00:00+05:30,485.95,485.95,470.6,471.85,33095
2025-04-23 00:00:00+05:30,472.65,487.0,463.5,478.55,28660
2025-04-24 00:00:00+05:30,480.0,480.95,467.0,468.8,11721
2025-04-25 00:00:00+05:30,468.8,474.9,450.4,455.55,53861
2025-04-28 00:00:00+05:30,455.35,473.0,455.35,469.5,17769
2025-04-29 00:00:00+05:30,461.0,481.85,461.0,476.0,6630
2025-04-30 00:00:00+05:30,467.0,477.85,465.05,466.5,15007
2025-05-02 00:00:00+05:30,464.95,474.4,464.45,470.8,8506
2025-05-05 00:00:00+05:30,470.8,479.15,468.05,475.2,17195
2025-05-06 00:00:00+05:30,479.75,479.75,455.65,464.75,32231
2025-05-07 00:00:00+05:30,440.25,459.0,440.25,453.85,40275
2025-05-08 00:00:00+05:30,454.95,461.45,447.95,453.15,8754
2025-05-09 00:00:00+05:30,440.0,445.4,435.4,441.7,11073
2025-05-12 00:00:00+05:30,458.0,463.0,439.0,440.65,35467
2025-05-13 00:00:00+05:30,449.0,462.0,445.0,460.35,16667
2025-05-14 00:00:00+05:30,464.0,465.35,449.0,450.3,7754
2025-05-15 00:00:00+05:30,460.0,460.0,445.0,447.0,10404
2025-05-16 00:00:00+05:30,447.0,459.45,444.0,457.45,16706
2025-05-19 00:00:00+05:30,451.8,459.6,444.85,448.45,30522
2025-05-20 00:00:00+05:30,450.55,450.55,436.6,438.0,18411
2025-05-21 00:00:00+05:30,437.75,444.4,437.75,440.8,5740
2025-05-22 00:00:00+05:30,441.05,445.45,432.95,434.55,17053
2025-05-23 00:00:00+05:30,430.4,448.0,430.4,444.85,26916
2025-05-26 00:00:00+05:30,439.3,451.65,439.3,449.45,25058
2025-05-27 00:00:00+05:30,446.1,450.25,443.4,445.25,19631
2025-05-28 00:00:00+05:30,445.6,451.5,437.65,439.2,23706
2025-05-29 00:00:00+05:30,441.05,443.5,427.0,430.65,14836
2025-05-30 00:00:00+05:30,433.65,446.0,429.95,444.45,58950
2025-06-02 00:00:00+05:30,441.6,447.0,437.95,442.2,30670
2025-06-03 00:00:00+05:30,438.25,446.95,437.9,441.55,18197
2025-06-04 00:00:00+05:30,440.95,444.35,435.95,441.3,28780
2025-06-05 00:00:00+05:30,444.95,448.2,441.15,444.4,40520
2025-06-06 00:00:00+05:30,436.05,455.9,436.05,449.75,38589
2025-06-09 00:00:00+05:30,454.05,460.2,449.0,453.1,31644
2025-06-10 00:00:00+05:30,455.0,455.05,450.65,452.4,22442
2025-06-11 00:00:00+05:30,456.5,456.5,442.7,446.8,11609
2025-06-12 00:00:00+05:30,441.0,447.65,440.05,441.25,17713
2025-06-13 00:00:00+05:30,432.45,438.75,430.3,437.75,27206
2025-06-16 00:00:00+05:30,434.0,446.9,432.0,443.55,10668
2025-06-17 00:00:00+05:30,440.15,447.2,440.15,445.1,7424
2025-06-18 00:00:00+05:30,449.7,449.7,439.0,439.9,4470
2025-06-19 00:00:00+05:30,439.05,445.9,435.75,436.15,6900
2025-06-20 00:00:00+05:30,430.1,440.05,430.1,437.55,11053
2025-06-23 00:00:00+05:30,430.95,447.2,430.95,442.5,12791
2025-06-24 00:00:00+05:30,448.0,448.05,424.2,432.8,17600
2025-06-25 00:00:00+05:30,433.0,444.8,430.6,441.75,12887
2025-06-26 00:00:00+05:30,434.4,445.75,434.4,444.0,20234
2025-06-27 00:00:00+05:30,447.95,450.95,443.35,443.85,7242
2025-06-30 00:00:00+05:30,450.6,459.95,445.9,455.85,15154
2025-07-01 00:00:00+05:30,458.8,467.5,452.45,463.55,43409
2025-07-02 00:00:00+05:30,464.05,470.15,456.9,464.85,10967
2025-07-03 00:00:00+05:30,464.15,465.5,459.0,464.2,6800
2025-07-04 00:00:00+05:30,463.85,468.75,453.25,458.95,24494
2025-07-07 00:00:00+05:30,461.25,462.85,448.0,455.05,7306
2025-07-08 00:00:00+05:30,448.2,459.2,444.1,451.85,25920
2025-07-09 00:00:00+05:30,446.1,452.05,446.1,449.2,10283
2025-07-10 00:00:00+05:30,455.15,462.45,447.8,454.1,53063
2025-07-11 00:00:00+05:30,448.05,461.3,448.05,452.0,22269
2025-07-14 00:00:00+05:30,453.05,461.0,449.45,460.15,29996
2025-07-15 00:00:00+05:30,463.0,488.45,454.3,477.8,170977
2025-07-16 00:00:00+05:30,477.75,509.75,475.1,504.55,176531
2025-07-17 00:00:00+05:30,502.85,505.1,492.35,502.6,48978
2025-07-18 00:00:00+05:30,502.6,508.0,494.05,504.85,27733
2025-07-21 00:00:00+05:30,519.0,525.65,508.0,516.55,212977
2025-07-22 00:00:00+05:30,524.15,531.0,516.05,519.05,150597
2025-07-23 00:00:00+05:30,523.6,524.15,510.6,516.35,24146
2025-07-24 00:00:00+05:30,509.2,518.6,508.6,511.7,13360
2025-07-25 00:00:00+05:30,511.7,512.95,495.25,496.9,56797
2025-07-28 00:00:00+05:30,520.25,538.0,513.65,516.45,542313
2025-07-29 00:00:00+05:30,510.2,514.1,500.4,509.35,40022
2025-07-30 00:00:00+05:30,503.05,519.8,503.05,507.6,39896
2025-07-31 00:00:00+05:30,500.05,509.35,498.95,506.95,44068
2025-08-01 00:00:00+05:30,507.05,508.95,495.85,498.85,13082
2025-08-04 00:00:00+05:30,495.35,504.95,495.0,500.4,18689
2025-08-05 00:00:00+05:30,498.0,503.7,495.0,499.3,16882
2025-08-06 00:00:00+05:30,492.05,501.25,492.05,495.4,6536
2025-08-07 00:00:00+05:30,486.05,507.2,486.05,505.6,12313
2025-08-08 00:00:00+05:30,503.1,509.3,500.8,503.85,21175
2025-08-11 00:00:00+05:30,503.85,515.0,503.3,506.4,37052
2025-08-12 00:00:00+05:30,505.35,508.9,502.7,506.2,18654
2025-08-13 00:00:00+05:30,511.15,511.15,493.25,496.55,22000
2025-08-14 00:00:00+05:30,498.35,504.4,495.1,501.0,8624
2025-08-18 00:00:00+05:30,506.95,510.0,500.25,505.05,16740
2025-08-19 00:00:00+05:30,505.05,506.95,497.45,502.2,23737
2025-08-20 00:00:00+05:30,507.95,518.15,500.35,516.0,16463
2025-08-21 00:00:00+05:30,519.95,521.2,513.65,517.05,21436
2025-08-22 00:00:00+05:30,514.45,523.95,514.45,522.05,20043
2025-08-25 00:00:00+05:30,520.05,530.0,515.7,517.4,36744
2025-08-26 00:00:00+05:30,515.3,519.15,500.05,503.25,46713
2025-08-28 00:00:00+05:30,500.35,504.4,495.2,497.25,8146
2025-08-29 00:00:00+05:30,496.0,508.75,496.0,502.75,23260
2025-09-01 00:00:00+05:30,496.05,507.6,495.05,502.0,15289
2025-09-02 00:00:00+05:30,500.0,516.0,500.0,507.95,22530
2025-09-03 00:00:00+05:30,505.0,518.6,505.0,515.15,27020
2025-09-04 00:00:00+05:30,518.3,518.35,506.0,507.3,8206
2025-09-05 00:00:00+05:30,511.35,520.75,507.2,513.95,30571
2025-09-08 00:00:00+05:30,512.0,514.5,506.05,510.15,23620
2025-09-09 00:00:00+05:30,508.05,519.0,507.85,512.1,19520
2025-09-10 00:00:00+05:30,512.55,522.25,512.55,517.75,11348
2025-09-11 00:00:00+05:30,517.75,518.5,505.0,505.55,10303
2025-09-12 00:00:00+05:30,517.95,517.95,496.8,506.65,32201
2025-09-15 00:00:00+05:30,505.75,520.0,504.4,518.65,30203
2025-09-16 00:00:00+05:30,525.0,544.9,520.95,537.8,143954
2025-09-17 00:00:00+05:30,547.4,547.4,532.0,537.75,48139
2025-09-18 00:00:00+05:30,539.05,541.8,534.25,538.65,19073
2025-09-19 00:00:00+05:30,539.5,541.55,530.2,537.8,29399
