date,open,high,low,close,volume
2025-03-13 00:00:00+05:30,38.15,40.84,38.15,39.26,2271
2025-03-17 00:00:00+05:30,40.32,40.32,37.35,38.22,10857
2025-03-18 00:00:00+05:30,37.33,39.5,36.78,37.8,17705
2025-03-19 00:00:00+05:30,38.85,38.85,36.71,38.46,13248
2025-03-20 00:00:00+05:30,38.96,39.87,37.26,37.56,11114
2025-03-21 00:00:00+05:30,38.18,38.5,37.01,37.61,15166
2025-03-24 00:00:00+05:30,38.35,38.36,36.0,37.53,19259
2025-03-25 00:00:00+05:30,37.52,38.49,36.01,36.13,14315
2025-03-26 00:00:00+05:30,36.13,36.96,35.06,35.43,27726
2025-03-27 00:00:00+05:30,35.2,37.0,35.2,36.31,26467
2025-03-28 00:00:00+05:30,38.0,38.12,36.0,37.99,23473
2025-04-01 00:00:00+05:30,37.79,39.88,37.16,39.88,7450
2025-04-02 00:00:00+05:30,39.32,41.87,39.32,41.87,9973
2025-04-03 00:00:00+05:30,43.52,43.96,41.87,43.96,6594
2025-04-04 00:00:00+05:30,44.0,44.83,44.0,44.6,8310
2025-04-07 00:00:00+05:30,43.71,43.71,43.71,43.71,4511
2025-04-08 00:00:00+05:30,43.0,44.08,42.85,42.85,1935
2025-04-09 00:00:00+05:30,43.7,43.7,42.0,42.0,1208
2025-04-11 00:00:00+05:30,42.84,42.84,41.16,41.2,1212
2025-04-15 00:00:00+05:30,40.45,42.02,40.38,42.02,4882
2025-04-16 00:00:00+05:30,41.45,42.25,41.45,41.55,1163
2025-04-17 00:00:00+05:30,41.5,41.75,41.5,41.5,1776
2025-04-21 00:00:00+05:30,42.33,42.33,41.62,41.62,3967
2025-04-22 00:00:00+05:30,41.5,41.5,40.8,41.0,10267
2025-04-23 00:00:00+05:30,41.0,41.0,40.18,40.2,6425
2025-04-24 00:00:00+05:30,39.4,39.4,39.4,39.4,7525
2025-04-25 00:00:00+05:30,38.7,38.7,38.62,38.62,2509
2025-04-28 00:00:00+05:30,38.2,38.2,37.85,37.85,2575
2025-04-29 00:00:00+05:30,37.85,37.85,37.1,37.1,1505
2025-04-30 00:00:00+05:30,36.4,37.0,36.4,36.4,2668
2025-05-02 00:00:00+05:30,36.4,36.4,35.77,35.9,772
2025-05-05 00:00:00+05:30,35.78,35.78,35.2,35.77,1782
2025-05-06 00:00:00+05:30,35.1,35.19,35.06,35.06,1833
2025-05-07 00:00:00+05:30,35.0,35.1,34.36,35.1,2587
2025-05-08 00:00:00+05:30,34.4,35.19,34.4,35.19,1440
2025-05-09 00:00:00+05:30,34.5,34.5,34.49,34.49,2398
2025-05-12 00:00:00+05:30,34.52,36.21,34.52,36.0,4064
2025-05-13 00:00:00+05:30,35.45,37.8,35.45,37.8,2115
2025-05-14 00:00:00+05:30,38.04,39.69,38.04,39.69,758
2025-05-15 00:00:00+05:30,41.67,41.67,41.67,41.67,3466
2025-05-16 00:00:00+05:30,42.69,43.75,42.69,43.75,1827
2025-05-19 00:00:00+05:30,45.93,45.93,45.93,45.93,2752
2025-05-20 00:00:00+05:30,47.11,48.22,47.11,48.0,9629
2025-05-21 00:00:00+05:30,47.18,47.98,47.04,47.04,3822
2025-05-22 00:00:00+05:30,46.89,46.89,46.1,46.1,3078
2025-05-23 00:00:00+05:30,45.18,45.18,45.18,45.18,2319
2025-05-26 00:00:00+05:30,44.28,44.28,44.28,44.28,2723
2025-05-27 00:00:00+05:30,44.39,44.39,43.4,43.5,981
2025-05-28 00:00:00+05:30,43.55,43.55,42.63,42.63,4998
2025-05-29 00:00:00+05:30,42.63,43.0,41.78,41.78,4518
2025-05-30 00:00:00+05:30,40.95,41.53,40.95,41.53,4262
2025-06-02 00:00:00+05:30,41.53,41.53,40.75,40.75,4041
2025-06-03 00:00:00+05:30,40.75,40.75,40.2,40.75,1795
2025-06-04 00:00:00+05:30,40.0,40.15,40.0,40.15,4311
2025-06-05 00:00:00+05:30,39.4,39.51,39.4,39.5,3867
2025-06-06 00:00:00+05:30,38.71,39.2,38.71,38.76,8685
2025-06-09 00:00:00+05:30,38.75,39.53,38.01,39.53,5081
2025-06-10 00:00:00+05:30,40.32,40.32,40.32,40.32,9748
2025-06-11 00:00:00+05:30,40.31,40.6,40.31,40.6,9295
2025-06-12 00:00:00+05:30,40.6,41.41,40.6,41.4,9203
2025-06-13 00:00:00+05:30,40.67,41.38,40.67,40.72,3679
2025-06-16 00:00:00+05:30,41.0,41.0,39.91,39.91,1681
2025-06-17 00:00:00+05:30,40.0,40.0,39.5,39.56,1953
2025-06-18 00:00:00+05:30,40.28,40.28,38.77,38.77,1497
2025-06-19 00:00:00+05:30,39.54,39.54,38.0,38.0,4896
2025-06-20 00:00:00+05:30,38.5,38.5,37.31,38.0,1075
2025-06-23 00:00:00+05:30,37.24,38.0,37.24,38.0,1038
2025-06-24 00:00:00+05:30,37.3,37.7,37.3,37.7,4216
2025-06-25 00:00:00+05:30,38.45,38.45,38.45,38.45,3326
2025-06-26 00:00:00+05:30,38.44,38.44,38.02,38.42,2163
2025-06-27 00:00:00+05:30,38.1,39.18,38.1,39.18,1351
2025-06-30 00:00:00+05:30,39.18,41.13,37.73,40.95,7632
2025-07-01 00:00:00+05:30,42.97,42.97,38.91,39.79,27534
2025-07-02 00:00:00+05:30,40.38,40.44,38.55,39.21,2898
2025-07-03 00:00:00+05:30,38.99,39.0,37.81,38.08,12605
2025-07-04 00:00:00+05:30,38.99,38.99,37.5,37.99,11553
2025-07-07 00:00:00+05:30,38.25,38.25,37.0,37.71,5501
2025-07-08 00:00:00+05:30,37.96,38.45,37.2,37.32,4515
2025-07-09 00:00:00+05:30,36.9,38.2,36.6,37.59,4673
2025-07-10 00:00:00+05:30,38.17,38.2,37.0,37.2,14398
2025-07-11 00:00:00+05:30,37.94,37.94,36.55,36.99,15952
2025-07-14 00:00:00+05:30,36.5,38.0,36.05,36.45,4420
2025-07-15 00:00:00+05:30,36.01,37.24,36.01,36.49,6233
2025-07-16 00:00:00+05:30,37.0,37.0,36.1,36.3,4215
2025-07-17 00:00:00+05:30,36.89,37.86,36.25,36.64,2523
2025-07-18 00:00:00+05:30,36.15,37.05,36.15,36.7,4385
2025-07-21 00:00:00+05:30,36.5,38.37,36.21,37.74,3780
2025-07-22 00:00:00+05:30,36.4,37.9,36.35,36.5,5022
2025-07-23 00:00:00+05:30,36.09,37.99,36.09,37.36,4592
2025-07-24 00:00:00+05:30,37.0,37.0,36.01,36.45,4918
2025-07-25 00:00:00+05:30,35.85,36.5,35.55,36.08,5059
2025-07-28 00:00:00+05:30,35.1,36.24,34.3,34.86,13401
2025-07-29 00:00:00+05:30,35.0,36.0,34.2,35.6,2087
2025-07-30 00:00:00+05:30,36.0,36.85,35.0,36.55,10623
2025-07-31 00:00:00+05:30,35.06,36.55,35.06,35.8,2827
2025-08-01 00:00:00+05:30,35.6,36.7,35.02,35.15,5318
2025-08-04 00:00:00+05:30,35.02,36.4,34.06,36.05,4268
2025-08-05 00:00:00+05:30,36.79,36.79,34.45,34.54,5377
2025-08-06 00:00:00+05:30,34.15,35.38,34.0,34.75,1923
2025-08-07 00:00:00+05:30,34.75,34.75,33.4,33.96,3085
2025-08-08 00:00:00+05:30,33.28,34.69,33.28,34.02,5531
2025-08-11 00:00:00+05:30,33.2,34.4,32.35,32.83,6703
2025-08-12 00:00:00+05:30,32.7,33.35,31.5,31.76,7390
2025-08-13 00:00:00+05:30,31.76,32.49,30.7,30.82,3198
2025-08-14 00:00:00+05:30,30.5,31.85,30.18,30.44,5413
2025-08-18 00:00:00+05:30,30.19,31.35,29.75,29.85,8704
2025-08-19 00:00:00+05:30,29.45,30.8,29.25,29.72,13033
2025-08-20 00:00:00+05:30,29.7,30.49,29.33,30.28,9631
2025-08-21 00:00:00+05:30,30.28,31.14,29.6,30.28,2740
2025-08-22 00:00:00+05:30,30.99,31.0,29.65,30.65,1673
2025-08-25 00:00:00+05:30,30.2,31.14,29.75,29.86,2158
2025-08-26 00:00:00+05:30,30.0,30.3,29.3,30.1,1750
2025-08-28 00:00:00+05:30,29.0,30.92,29.0,30.49,4190
2025-08-29 00:00:00+05:30,31.4,31.4,30.1,30.37,2596
2025-09-01 00:00:00+05:30,29.7,30.94,29.7,30.38,2049
2025-09-02 00:00:00+05:30,30.02,30.99,30.01,30.38,10297
2025-09-03 00:00:00+05:30,30.38,31.89,30.38,31.89,2720
2025-09-04 00:00:00+05:30,33.48,33.48,32.81,33.48,4133
2025-09-05 00:00:00+05:30,35.15,35.15,34.0,35.15,1897
2025-09-08 00:00:00+05:30,36.9,36.9,36.9,36.9,2917
2025-09-09 00:00:00+05:30,38.7,38.7,36.04,36.73,34093
2025-09-10 00:00:00+05:30,36.5,38.24,36.5,38.11,16473
2025-09-11 00:00:00+05:30,39.48,40.01,37.8,40.01,24591
2025-09-12 00:00:00+05:30,38.57,41.99,38.57,41.92,43014
2025-09-15 00:00:00+05:30,43.8,44.01,42.95,44.01,59810
2025-09-16 00:00:00+05:30,45.49,46.21,44.5,46.21,47333
2025-09-17 00:00:00+05:30,48.18,48.52,47.25,48.52,84859
2025-09-18 00:00:00+05:30,49.81,50.94,49.81,50.94,41813
2025-09-19 00:00:00+05:30,53.48,53.48,53.48,53.48,28975
